,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
53069,58279,2090603,PAYMENT,65189,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-27 17:08:09,-,196000.0,POINT,196000,0,196000,0,8,27
53071,58281,2090601,PAYMENT,41416,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 17:08:00,-,330000.0,CARD,330000,0,330000,0,8,27
53089,58299,2090497,PAYMENT,88287,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-08-27 15:08:06,-,367000.0,CARD,367000,0,367000,0,8,27
53096,58306,2090411,PAYMENT,59613,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 15:08:16,-,330000.0,CARD,330000,0,330000,0,8,27
53101,58311,2090395,PAYMENT,61136,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-08-27 15:08:42,-,367000.0,CARD,367000,0,367000,0,8,27
53132,58342,2090155,PAYMENT,26605,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-08-27 12:08:25,[Class 07]  Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전 5만원 할인 쿠폰 ,367000.0,CARD,317000,50000,317000,0,8,27
53148,58358,2090090,PAYMENT,64412,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 11:08:46,[WELCOME] The Red 강의 2만원 할인,141000.0,CARD,121000,20000,121000,0,8,27
53186,58396,2089813,PAYMENT,77580,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 05:08:15,[WELCOME] The Red 강의 2만원 할인,141000.0,CARD,121000,20000,121000,0,8,27
53265,58475,2089233,PAYMENT,93679,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-08-26 22:08:05,[황선미 피드백 프로그램] 참여자 리워드_RED 쿠폰,195500.0,PROMOTION,0,195500,0,0,8,26
53268,58478,2089209,PAYMENT,1990,205143,FASTCAMPUS,RED,프로그래밍,The RED : 백엔드 에센셜 : 대용량 서비스를 위한 아키텍처 with Redis by 강대명,2022-08-26 22:08:14,[WELCOME] The Red 강의 3만원 할인,281000.0,CARD,251000,30000,251000,0,8,26
