,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
초격차 패키지 : 한 번에 끝내는 구글 스프레드시트,1,1,0,1,4,4,1,4,3,3,2,0,1,0,2,4,0,3,1,3,8,0,2,3,2,2,0,2,4,3,6
"백엔드 개발 마스터 Kit with Java, Spring, Kotlin",1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,1,2,1,0,0,0,1,1,0
초격차 패키지 : 한 번에 끝내는 React의 모든 것,1,3,1,1,3,3,3,2,6,4,5,2,0,0,1,1,0,1,1,0,1,4,1,0,2,0,2,0,0,1,4
올인원 패키지 : 십다 프리미어,1,0,0,2,2,1,3,1,1,0,1,3,1,1,0,0,0,0,0,0,4,1,1,1,0,0,2,1,0,1,0
초격차 패키지 : 한 번에 끝내는 데이터 분석,1,0,0,0,2,2,7,3,6,1,5,3,11,5,4,8,2,2,7,3,7,6,4,5,11,15,5,3,6,2,19
초격차 패키지: 한 번에 끝내는 동화책 제작,1,1,0,0,0,0,1,2,1,1,2,1,3,0,1,3,1,6,4,1,1,1,3,3,4,2,1,0,0,2,2
올인원 패키지 : 디자이너 몰래 듣는 압축 포토샵,1,0,1,0,1,3,0,3,3,1,5,4,1,1,0,3,1,0,0,0,1,1,0,2,2,0,0,1,2,4,4
올인원 패키지 : 모델 성능 개선으로 익히는 강화학습 A to Z,1,1,0,0,1,3,0,2,1,0,0,0,3,1,0,4,1,1,0,1,0,2,0,0,0,0,0,1,0,1,1
올인원 패키지 : 실무 사례로 배우는 컴퓨터 비전 논문 구현과 알고리즘 성능 최적화,1,1,0,0,2,0,1,2,5,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
초격차 패키지 : 30개 프로젝트로 배우는 iOS 앱 개발 with Swift,1,1,1,1,7,3,3,5,6,1,3,5,1,3,2,2,0,2,0,1,4,0,2,1,3,3,4,7,4,2,5
The RED : 김민태,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
초격차 패키지 : Solidity로 시작하는 이더리움(EVM) 기반 블록체인 개발 A to Z,1,2,0,2,14,3,3,3,7,2,10,2,8,5,1,1,1,3,6,0,5,4,4,2,3,4,1,2,2,3,1
초격차 패키지 : 나만의 특별한 일상과 여행 드로잉,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
